pair_index,near_left,near_right,near_lcp,near_collaborative_cosine,near_frequency_bins,far_left,far_right,far_lcp,far_collaborative_cosine,far_frequency_bins,near_score_correlation,far_score_correlation,correlation_excess
43,B00008MOQN,B008JH1CB2,2,0.0,2|2,B003DGWTXE,B004WSXD4G,0,0.0,2|2,0.9678870757567838,0.006608270714314563,0.9612788050424692
44,B008PTPSF0,B009LYB2E4,2,0.0,2|2,B000N758A2,B000RTPT8M,0,0.0,2|2,0.9157106181355233,0.5951972828661031,0.3205133352694203
45,B0009I4MKW,B000GFZWE8,2,0.0,1|2,B0001TSJPI,B000U0CAYY,0,0.0,1|2,0.8053859594739712,0.4900482775784001,0.3153376818955711
46,B0019QHUTI,B002UU9Q6W,2,0.0,1|3,B005D0WXPC,B00AHH00TC,0,0.0,1|3,0.9176045490036093,0.4228651796428348,0.4947393693607745
47,B0038YW3BY,B0047WYO1I,3,0.0,1|2,B000G686U4,B003O4DNZS,0,0.0,1|2,0.9751574053479946,0.5273366126582464,0.44782079268974817
48,B0050RY36K,B009ZFMJVE,2,0.0,1|2,B0007R7ABS,B000TUC9AA,0,0.0,1|2,0.7533079717189284,0.3799896657172097,0.37331830600171867
49,B005TT8RPM,B005TT8T4G,3,0.0,1|1,B0011DS3CW,B004IQIR52,0,0.0,1|1,0.6951249175822249,0.39970374250360247,0.2954211750786225
50,B00CRM2SUE,B00HDL5VA8,2,0.0,1|1,B000OFB5QO,B000V4PL22,0,0.0,1|1,0.43564428764750596,0.4327016450776119,0.0029426425698940717
51,B003VMTZ8C,B003ZUZCDC,2,0.0,2|2,B001OG1CWY,B00563K6VO,0,0.0,2|2,0.948888110181387,0.5022261983857934,0.44666191179559356
52,B000052ZB2,B000052ZB4,3,0.0,2|3,B001CY87TE,B00GLS58OS,0,0.0,2|3,0.9477881296133976,-0.13424754365145986,1.0820356732648575
53,B000KVH1QU,B003NW8M1Q,2,0.0,2|3,B0012QD7EC,B004MKHYQM,0,0.0,2|3,0.9606866959994522,0.11166082053613785,0.8490258754633144
54,B00852D7AK,B00852F7YY,4,0.0,1|2,B0012J138G,B006H2Z58C,0,0.0,1|2,0.8613531753266503,-0.03669208208878176,0.8980452574154321
55,B001B488WG,B008VSBREG,2,0.0,1|3,B000KEOQR4,B0057JCYYE,0,0.0,1|3,0.8900750864378851,0.3740529962170589,0.5160220902208262
56,B006LF5WTC,B007RT19V6,2,0.0,1|3,B00005NAOD,B003AYEG3U,0,0.0,1|3,0.9154993735296628,0.44810925939574486,0.46739011413391796
57,B003VMFITM,B004NMYM96,2,0.0,1|3,B002UU9Q6W,B00KNIL36E,0,0.0,1|3,0.9398904261251589,0.3869223814799249,0.5529680446452341
58,B004NMVP82,B004SSTOCK,2,0.0,1|1,B0049D54NW,B004HYLRA2,0,0.0,1|1,0.9490482647252978,0.5072624037323059,0.4417858609929919
59,B000JL3WNW,B002PE9I7U,2,0.0,1|2,B00ARX8GGA,B00BXS0IKU,0,0.0,1|2,0.5517256094677296,0.5186285683894696,0.03309704107826006
60,B000XE67WI,B0036FTF5W,3,0.0,1|2,B0002G214U,B002IDPHBE,0,0.0,1|2,0.8970903106737178,0.6064758142773438,0.29061449639637404
61,B0000AFUTL,B00AK4QS7A,3,0.0,2|3,B000FBK5HW,B004BCXAM8,0,0.0,2|3,0.5622107254421302,0.5679556704850666,-0.0057449450429363225
62,B000CSDDDG,B000EZOC1O,7,0.0,2|2,B002DPUY10,B0081E6YX4,0,0.0,2|2,0.9964487550107192,0.5948523229875758,0.4015964320231433
63,B005XP4YNQ,B00GUTLC0C,2,0.0,2|3,B0028RC5N8,B008BS9YNC,0,0.0,2|3,0.10397325896693427,0.49590681718188406,-0.3919335582149498
