sample_key,user_id,target_group,history_length,competitive_steps,full_legal_ce,best_removal_improvement,oldest_removal_improvement,most_recent_removal_improvement,oracle_advantage_over_oldest,has_harmful_passage
A19ZCPGGWOV4UQ:5:B001TM5X28,A19ZCPGGWOV4UQ,tail,5,3,0.2920370406160752,0.06727575960879525,0.051574244163930444,-0.17467479780316353,0.01570151544486481,1
A1A9PD00UVHHVI:6:B00CI6J3HA,A1A9PD00UVHHVI,head,6,4,0.8952962011074987,0.12403623761531435,0.029018029570011095,-0.4718640297641059,0.09501820804530325,1
A1B0IBG97OITZZ:5:B006SLYAUQ,A1B0IBG97OITZZ,tail,5,3,2.2449335058530173,0.16240651408831308,-0.25003849466641714,-0.6867034037907915,0.4124450087547302,1
A1B0N7WV5RR9VS:6:B000S17LA8,A1B0N7WV5RR9VS,head,6,3,2.1532190640767417,0.09765613079071045,0.09765613079071045,-0.5712519486745196,0.0,1
A1B0R9I86NKVTH:5:B00804BCO6,A1B0R9I86NKVTH,head,5,3,0.7916798889636993,0.08259674906730652,-0.20650159319241845,-0.3105607430140178,0.28909834225972497,1
A1BAH8UZH8LMPF:5:B000GIL2DU,A1BAH8UZH8LMPF,head,5,4,2.090087735792622,0.16982341464608908,-0.15170353557914495,0.16982341464608908,0.32152695022523403,1
A1BOJ3936IE1E0:6:B00006FDLT,A1BOJ3936IE1E0,tail,6,3,1.1797116498152416,0.16131692131360387,-0.029101108511288887,0.008662427465121025,0.19041802982489275,1
A1C02Z83O2MJHO:9:1564518531,A1C02Z83O2MJHO,tail,9,3,1.862605055173238,0.02872527639071132,0.024269739786783706,0.02872527639071132,0.004455536603927612,0
A1CIW2OEVAJRM2:24:B007515EVC,A1CIW2OEVAJRM2,tail,20,4,0.2519548811833374,0.07843840646091849,0.018453391676303,0.07843840646091849,0.05998501478461549,1
A1D8S5X2YNCMUQ:6:B004FJL5WE,A1D8S5X2YNCMUQ,tail,6,4,1.9930039197206497,0.04601815342903137,-0.002827391028404236,-0.25811803340911865,0.04884554445743561,0
A1DD9MSMEKYOVW:89:B003COZJXO,A1DD9MSMEKYOVW,tail,20,5,1.3273790312930942,0.05956584103405471,0.023239807412028357,-0.07595425341278306,0.036326033622026355,1
A1DE59A1A0802B:6:B00408K8P0,A1DE59A1A0802B,tail,6,3,2.7735730409622192,0.35759661595026637,-0.34403300285339355,-0.14067653814951564,0.7016296188036599,1
A1DNWA98IV5PMW:8:B00083HKHK,A1DNWA98IV5PMW,tail,8,3,2.220150907834371,-0.046692093213398955,-0.1106412410736084,-0.24572312831878662,0.06394914786020944,0
A1DZWRVEPMW1UI:12:B0008GMGZ8,A1DZWRVEPMW1UI,head,12,3,2.1353039344151816,0.23047423362731956,0.021996577580770005,0.011307438214620102,0.20847765604654955,1
A1E1LEVQ9VQNK:7:B00ARQW1C2,A1E1LEVQ9VQNK,head,7,3,2.071384591360887,0.03568440054853772,-0.06287558625141765,-0.1733823095758753,0.09855998679995537,0
A1E54M6BQY6SL3:10:B006ZJHKA8,A1E54M6BQY6SL3,tail,10,4,1.838079834356904,0.13788515888154507,0.02115447074174881,0.13788515888154507,0.11673068813979626,1
A1ES2Z4ZX6IWBK:5:B00029R6H4,A1ES2Z4ZX6IWBK,tail,5,3,0.8328946828842163,0.02105128765106201,0.02105128765106201,-0.7819865743319194,0.0,0
A1EWN05O1U1NTA:6:B000M5J7W0,A1EWN05O1U1NTA,head,6,4,0.23550331592559814,0.011240541469305754,-0.0021871966309845448,-0.10454147914424539,0.013427738100290298,0
