dataset,sample_key,prefix,legal_children,teacher_mass_error
Toys,A2KIFQR33XXCWJ:4:B001KW063S,0 2412,20,5.960464477539063e-08
Toys,A2LYRRWF5UZ2WO:4:B0000DJ3DW,0 2100 649,23,5.960464477539063e-08
Toys,A2MOD50IHEDH3G:15:B00BG8F0IW,0 467,24,0.0
Toys,A2MX85R9XJXO9I:3:B0045H0L1W,0 2100 659,31,0.0
Toys,A2NCWLAWOVCKF7:2:B000096R0P,0 1871 9013,14,0.0
Toys,A2NSRS3UG2KG2H:10:B007PVHMCG,0 467 895 12540,6,0.0
Toys,A2OAQHQRJQP6J7:23:B0038ANQ0U,0,30,5.960464477539063e-08
Toys,A2P823DR06AN1K:1:B005VQ78US,0 4183,22,0.0
Toys,A2PFUJ2R69R6E9:3:B00428ZTQG,0 1041,27,0.0
Toys,A2PZJUCU65CMBM:4:B00006654A,0 387,24,0.0
Toys,A2QX7NV9PZEV8T:11:B000GL1DI6,0 2100 11925,53,5.960464477539063e-08
Toys,A2RIAXGSBP65BJ:52:B00B1Z6G1U,0 14351 9760,24,5.960464477539063e-08
Toys,A2RV8B3LE13PCP:3:B00428LJ0Q,0 16352,25,0.0
Toys,A2S2DZ1S2KLOX8:1:B0073R7HG8,0,30,5.960464477539063e-08
Toys,A2T7GZ74MZI0MN:3:B0026TJYY6,0 11109,27,0.0
Toys,A2TC4FQGHFHA5K:12:B003F8HSAE,0,30,0.0
Toys,A2TNYWM7C0EVQI:2:B0037XA2KK,0 2244 3034,22,0.0
Toys,A2TW7DLAOEO5Y:5:B0095XOPF4,0,30,0.0
Toys,A2UZWRTYAM5ROV:3:B003H4ZVH8,0 2100 1088,28,0.0
Toys,A2V5R832QCSOMX:7:B007RTFZX4,0,30,0.0
Toys,A2VAD79S4A06DD:1:B0015KVAEE,0,30,0.0
Toys,A2VNZL6829HGRI:2:B00000IRZ4,0 5364,25,5.960464477539063e-08
Toys,A2W188L2F23EAV:1:B00592BOAO,0,30,0.0
Toys,A2WFZWRYWLC20S:13:B00AOHDC5Y,0,30,0.0
Toys,A2WFZWRYWLC20S:9:B008MTYWGE,0 19903 14761 4045,3,0.0
Toys,A2WTZYJFWNRAOI:3:B00H7LKW8U,0 16352,25,0.0
Toys,A2Y9ZKMKFGS5D9:1:B0093N52IK,0 14295 1871,42,5.960464477539063e-08
Toys,A2YB7DLC3FOR7W:7:B005688T5E,0 14527,19,1.1920928955078125e-07
Toys,A2YKN8E68KVMZL:2:B00804BDE0,0 17582 14741,3,0.0
Toys,A30BH3XSZWA8R9:1:B000OCP19Y,0 467 1476 2729,3,0.0
Toys,A30LAVLDNH4JR0:6:B007J3FBLO,0,30,5.960464477539063e-08
Toys,A31A98L6NJN01:2:B0036INP7I,0 2244 23693 4793,3,5.960464477539063e-08
Toys,A31AKXUO3FYRN6:2:B003I86C94,0 9062,26,0.0
Toys,A31H1PCPD00EWA:3:B004I8V70C,0 2341 2383,9,0.0
Toys,A3212H6SF9W1LV:20:B00CKH9URK,0 467 895 12540,6,0.0
Toys,A327T6QO89BN3O:5:B000ELSZT8,0 740 19655,5,0.0
Toys,A32Q4VQWGJRF04:2:B00000J161,0 26190 3171,4,0.0
Toys,A33WQU9772WWFS:5:B001Q3KU9Q,0 467 17996 2235,2,0.0
Toys,A34KTJ4VWNBOHI:4:B00H64YYWS,0,30,0.0
Toys,A35GP64E7LQL80:3:B00385MZYS,0 14351 9760,24,0.0
Toys,A35Q0RBM3YNQNF:2:B004SGS3OM,0 740,53,0.0
Toys,A361L1YPBCQY3D:2:B004LKWP8K,0 5364,25,0.0
Toys,A364A1DZ18Q0TY:2:B001PGP33C,0,30,5.960464477539063e-08
Toys,A369R4MUZCUI3D:1:B0002HWFV8,0 2100 671 6682,3,0.0
Toys,A38C12950IM24P:8:B00E2K3498,0,30,5.960464477539063e-08
Toys,A3AYSYSLHU26U9:2:B004S8F7QM,0 740,53,5.960464477539063e-08
Toys,A3BGQMHZA5317Z:5:B004TGVNHA,0 2948,27,0.0
Toys,A3C6ECCMS00GK:25:B000S0VQD2,0 14527 1431,9,0.0
Toys,A3E0CV9614GQJV:7:B008MTYWNC,0 740,53,0.0
Toys,A3E7PLJ501F5MN:5:B0036MDNMQ,0 14527,19,0.0
Toys,A3EP4YIS9W1LR1:2:B001ELK4K0,0 1871,29,0.0
Toys,A3I4H0OVHG3MCB:2:B006CD39XE,0 9062 9079,18,0.0
Toys,A3JRK240EEJ82X:6:B0007XIDVS,0 3127,21,0.0
Toys,A3KG83E6FXM0BD:2:B0012ZI4HS,0,30,5.960464477539063e-08
Toys,A3KHBA1XUN2YKE:3:B005XTLP84,0 2244,29,0.0
Toys,A3KKO4KDS1IA9D:3:B0010XAJI4,0 3127 7171 2999,4,0.0
Toys,A3L66JCRU6XF8I:2:B00000J4HK,0 740 2056 4124,3,0.0
Toys,A3M606TBE6C5N4:1:B001FD646A,0 2100 1088,28,0.0
Toys,A3MEMX0XF00TBD:17:B003WE34HC,0,30,1.1920928955078125e-07
Toys,A3MEMX0XF00TBD:24:B000EQGT00,0 3127 7171 2999,4,0.0
Toys,A3MFU0GVZUVH3K:2:B000QX50JC,0,30,5.960464477539063e-08
Toys,A3MRUIKOIGZ6QY:16:B003N3RJDW,0 467 895,74,0.0
Toys,A3MW9L1WLPE2EI:4:B003WFOOPC,0 17582 8553,23,0.0
Toys,A3NHUQ33CFH3VM:21:B004ORV2WK,0 11604 6541 11492 693 3954,4,0.0
Toys,A3NHUQ33CFH3VM:2:B00000IZQP,0 2412 1490,3,0.0
Toys,A3NHUQ33CFH3VM:45:B00CKH9URU,0 9062,26,0.0
Toys,A3NOBH42C7UI5M:15:B0037BMCFU,0,30,0.0
Toys,A3O2GQBY9O9UWI:2:B0032MYYBE,0 1871,29,0.0
Toys,A3OPRY7N8UT2HU:25:B000FNPMZK,0 2244,29,1.1920928955078125e-07
Toys,A3Q5KYQK0U3JEF:1:B000GKATU0,0 1041,27,1.1920928955078125e-07
Toys,A3Q9J4O1ESVB27:2:B003UHCV4S,0 4183 10638 9516,2,0.0
Toys,A3S4U2HQRFURC8:3:B005A54XF8,0 1871,29,0.0
Toys,A3SAX3ROUGQX4B:1:B000E9DPVI,0 14295,44,1.1920928955078125e-07
Toys,A3SIHUZHR1S1A7:4:B00BSWS650,0,30,0.0
Toys,A3SIHUZHR1S1A7:5:B000EXRSI0,0,30,5.960464477539063e-08
Toys,A3SOFFD1YQ23WN:6:B0038OMF30,0 3127,21,0.0
Toys,A3UJN94DC0QRO1:2:B004SL1HU4,0,30,0.0
Toys,A3V481ODRRLB0I:24:B002CICG3M,0 14295 4232,95,0.0
Toys,A3VHSRD9HP88TJ:2:B004Z7H15Q,0 467,24,0.0
Toys,A3VS2RYRGDW4HS:19:B00EAHXN6M,0 14295,44,0.0
Toys,A422TIGQH6GJ5:2:B000W7JWYG,0,30,1.1920928955078125e-07
Toys,A4EKH4B0OJQHB:2:B0035CCDPU,0,30,0.0
Toys,A5BXA4BQOK0S2:1:B0009P5YXO,0 467,24,0.0
Toys,A5GH0YNIDP48P:3:B002VC2T5O,0 2100 671 1088,4,0.0
Toys,A5ILSK8L8KZ9L:1:B00021HB9U,0 2100,31,0.0
Toys,A5JLAU2ARJ0BO:17:B005688T5E,0 467 895 12540,6,0.0
Toys,A5L8L4IQTDNAS:1:B000N5QNSK,0 467 895,74,0.0
Toys,A5N3LRVSC01Z5:2:B001JK4MRM,0 740 2095 26647,2,0.0
Toys,A5W21FCENJQ4Q:1:B003S9W4BI,0 467 1476,186,0.0
Toys,A6LUXI8I8BU6P:9:B002LFCQX6,0 740 7379,27,0.0
Toys,A763Z2F0WMWRC:18:B001Q3KUA0,0 467 895,74,1.1920928955078125e-07
Toys,A763Z2F0WMWRC:19:B001UO0EPQ,0 467 895 12540,6,0.0
Toys,A7RKMGNPH9BNB:1:B005OHLAG2,0,30,1.1920928955078125e-07
Toys,A7T9ZJ8Y360FY:3:B003UM79EU,0,30,0.0
Toys,A8IE2T3J9KRP3:2:B000GR75SC,0 5364 3337,9,0.0
