arm,sample_key,target_group,graph_covered,baseline_rank,candidate_rank,baseline_Recall@5,baseline_NDCG@5,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,baseline_MRR,candidate_Recall@5,candidate_NDCG@5,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,candidate_MRR,target_in_baseline_beam50,target_in_candidate_beam50,new_hit_at10_outside_A_beam,changed,broad_harm
A,ACDU5YGSYPC2O:1:B0002YDPX8,tail,1,37,37,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,1,1,0,0,0
A,ACHG3OEASC1Q4:3:B0038AJYSS,head,1,5,5,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.2,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.2,1,1,0,0,0
A,ADUTJST3AFK86:1:B00000JD5S,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AERBY54RWPSO9:2:B0042ESGRO,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0
A,AERBY54RWPSO9:6:B006CC0TQ0,head,1,4,4,1.0,0.43067655807339306,1.0,0.43067655807339306,1.0,0.25,1.0,0.43067655807339306,1.0,0.43067655807339306,1.0,0.25,1,1,0,0,0
A,AF77G6NFY4GZR:4:B004MWJLFC,head,1,13,13,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,1,1,0,0,0
A,AFITCO8MIFCHV:1:B000MEYJR4,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AFP43ZIYYKFWZ:1:B004BNQY5C,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AG88PJVD9RI74:4:B00A88F3UQ,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AGAOLD7VKRU6B:4:B0002YDPY2,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AGFGY4EJ37VS2:32:B00CANHVUC,head,1,8,8,0.0,0.0,1.0,0.31546487678572877,1.0,0.125,0.0,0.0,1.0,0.31546487678572877,1.0,0.125,1,1,0,0,0
A,AGOTAY0FGQEIA:1:B0009ICKBU,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0
A,AGR0MOEYP1EBX:9:B00146G71U,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AJ2FDNZ3COBFN:15:B007Z8U7CG,head,1,12,12,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,1,1,0,0,0
