item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B002MUANJO,14295 24447 4232 1207 7002 536,14295 24447 4232 1207 7002,6,30,-18.340255737304688,-10.03061580657959,-0.3743572235107422,-0.4348038473142086
B002MUANJY,14295 4232 2201 14957 1207,14295 4232 2201 14957,6,21,-20.139801025390625,-18.290813446044922,0.0,-0.7844775957939589
B002MUM9DC,387 5989 3348 8976 11752,387 5989 3348 8976,14,27,-22.051664352416992,-24.998863220214844,0.0,-1.340690998779987
B002MUR1JY,2100 15721 14526 5013 1016,2100 15721 14526 5013,7,108,-24.265457153320312,-23.17536735534668,1.9046955108642578,0.6911187984122673
B002MZAPCE,2100 23004 15779 13983 7241,2100 23004 15779 13983,4,7,-23.528141021728516,-25.33867835998535,0.0,-1.4699027302599923
B002N4KK7O,14351 6494 5235 22001 5051,14351 6494 5235 22001,16,78,-25.15884017944336,-20.291458129882812,0.0,-0.42099011014415666
B002NDBZJM,3186 19121 22406 15812 21226,3186 19121 22406 15812,5,11,-25.03586769104004,-23.121976852416992,0.0,-1.2431294108952038
B002NECEVE,740 5748 13888 5511 17715,740 5748 13888 5511,6,2,-20.324893951416016,-19.86884307861328,0.0,-2.9362397990534195
B002NGDR0O,1041 5638 18179 4554 18330,1041 5638 18179 4554,4,11,-22.785146713256836,-16.569852828979492,0.0,-1.0424587154330531
B002NGKQEY,14351 15073 15624 6606 19121,14351 15073 15624 6606,7,21,-21.415565490722656,-20.426063537597656,0.0,-0.9275784394346314
B002NGOH1W,740 6396 2032 19938 26325,740 6396 2032 19938,34,861,-21.027263641357422,-20.38808822631836,0.0,1.2369873779046863
B002NH38V6,2100 28373 27480 2420 19910,2100 28373 27480 2420,17,87,-24.5416202545166,-28.144195556640625,0.0,-0.3712904415918832
B002NPBT50,9062 9247 954 18309 776,9062 9247 954 18309,165,2439,-20.808725357055664,-14.49577808380127,0.0,0.709848830412791
B002NREGU8,2100 23004 19197 3400 15779,2100 23004 19197 3400,3,8,-22.4656925201416,-26.156675338745117,0.0,-1.0934251590250792
B002NXU0BG,467 895 73 23640 27324,467 895 73 23640,3,0,-23.055801391601562,-25.945175170898438,0.0,-3.9266385030812962
B002NXU0BQ,467 8150 16436 1588 2754,467 8150 16436 1588,7,9,-20.62344741821289,-18.080984115600586,0.0,-1.744339575961753
B002O064J0,740 9931 12581 6397 2478,740 9931 12581 6397,9,106,-21.777544021606445,-25.1197452545166,0.0,0.4361248325170024
B002O71LDM,2100 11144 12486 12840 1127,2100 11144 12486 12840,3,1,-20.3366641998291,-13.148088455200195,0.0,-2.828026214413187
B002O9JLEG,3127 21622 3714 1076 3010,3127 21622 3714 1076,5,0,-20.55870246887207,-19.051498413085938,0.0,-4.3786236268243535
B002ODY1CY,17582 1228 3989 6380 25828,17582 1228 3989 6380,8,124,-21.617496490478516,-18.501079559326172,0.0,0.7035111983825075
