sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,gate_probability,gate_applied,residual_spread
A1402C1PCSSBDU:validation:B001NFTQFG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5209990739822388,1,0.3112652897834778
A140ICK18NAAYR:validation:B0002HWFBS,head,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.3539643883705139,1,0.33556655049324036
A14N3XLSXIJFSG:validation:B00804BCO6,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.46479952335357666,1,0.3092374801635742
A14X8PU4E3APFE:validation:B000F3V2MW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7773928046226501,1,0.3075173497200012
A153JKH35P5N2I:validation:B00A88E8NE,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6164063215255737,1,0.3357895612716675
A15E6K4ZILA22P:validation:B001DZLLDG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5375998616218567,1,0.3692544102668762
A15Q9YEG1XPEJN:validation:B000FSIJ0K,head,39,36,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.7148420214653015,1,0.3670840561389923
A16BYDIT21IYHR:validation:B000LSZVKA,head,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.6112175583839417,1,0.31928208470344543
A16EIVIBBXFAQ0:validation:B00IVFCGIA,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4541575610637665,1,0.3678779602050781
A16J0ZE2YY07Q6:validation:B00000IWGQ,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5022831559181213,1,0.31107857823371887
A16Q1LYIDE2WDZ:validation:B008B68IEA,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7990153431892395,1,0.3056216239929199
A16QODENBJVUI1:validation:B00AW6XYLE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.580834150314331,1,0.3691825270652771
A16S04WKNCZHJI:validation:B002KE5GPS,head,6,6,1,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222,1.0,0,0,0.5213014483451843,1,0.30786406993865967
A16ZGHS7OVW2ML:validation:B00008W72D,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3863825500011444,1,0.30624622106552124
A1714DUFICLF6N:validation:B004UCBU6M,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5331671833992004,1,0.3101779818534851
A17771LTRWSKQ5:validation:B00FAQVVUC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3558277487754822,1,0.3049456775188446
A17KVLZE65YOKQ:validation:B00AGJ4HC2,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.49509233236312866,1,0.31253156065940857
A17OJRLUE3RYEJ:validation:B007U7M0WM,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.41350871324539185,1,0.3603355288505554
A17ZTM5OXAPRH0:validation:B00000IZQP,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.43667951226234436,1,0.3049495816230774
A185O1OKRT4M8:validation:B000EQGT00,head,,54,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.47900623083114624,1,0.37022632360458374
A1870QHI5BX494:validation:B004FEJ3VY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3271515667438507,1,0.31046831607818604
A188NTJ5LV8LA4:validation:B0084BPZES,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6919107437133789,1,0.30700138211250305
A18CF71GKLDS48:validation:B0007UB5VG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4018723964691162,1,0.3104846179485321
A18EORJUFYO2WE:validation:B006OBH98U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8069081902503967,1,0.30639100074768066
A18OUQEK7IZ2F2:validation:B004781SW0,head,34,45,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.6859948635101318,1,0.3090416491031647
A18QMNPU6WYX06:validation:B002V3RCE6,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3707856237888336,1,0.3686259686946869
A18QWGY3SYKY8U:validation:B000HGTV5W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3666190803050995,1,0.3078228831291199
A18YYHHSD6LZ2K:validation:B000HREOGM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.36446452140808105,1,0.3082607686519623
A19284DX9QYBYI:validation:B00CKH9NS6,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3871488869190216,1,0.336239755153656
A1954UXJEJLMFH:validation:B001P06GX4,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.40155231952667236,1,0.30816423892974854
A1981KGW9BJUA4:validation:B004U5RD1A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.47541046142578125,1,0.3445513844490051
A199FRO0YFMGED:validation:B00FBW4QTI,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.4624444842338562,1,0.30834120512008667
A19FH0XB46522I:validation:B002RQU3VQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.39605575799942017,1,0.36986568570137024
A19OA3WBX5Z2JK:validation:B007N0KZ64,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6896167993545532,1,0.31321558356285095
A19OB162NGPFV4:validation:B004M8ROHS,tail,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.48540493845939636,1,0.3049345910549164
A19VZZ46WFATZK:validation:B006UD2RB6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.47165602445602417,1,0.3105265498161316
A19YOYY7FLQMA6:validation:B00J49UTP4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6250537037849426,1,0.3685714602470398
A1A6FDVPCF5CB4:validation:B002IUFSPM,head,42,46,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.5991132855415344,1,0.31763529777526855
A1A6VXCUVRZWFN:validation:B000FK3WDC,head,11,9,1,0.0,0.0,1.0,1.0,0.3010299956639812,1.0,1,0,0.6511662602424622,1,0.3156837821006775
A1A8GVQFTXG70H:validation:B007J3F98O,head,19,19,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.42446473240852356,1,0.3057264983654022
A1A9DJ61HL7536:validation:B003DSIBVQ,head,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.6431316137313843,1,0.3116636276245117
A1ADHT4NOR0R0B:validation:B004JMJKR4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.41634446382522583,1,0.30873221158981323
A1AI18HNONDXKU:validation:B000BR9DPK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2815432846546173,1,0.3113170862197876
A1AKJRWMTUIMZE:validation:B003CRK5KI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.331665962934494,1,0.3692178726196289
A1AOMTP8YKG9OX:validation:B009P4I5FO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7903732657432556,1,0.3677408993244171
A1AS5M4WWAF3F2:validation:B0032EXVLG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.45952847599983215,1,0.30634409189224243
A1BF5WJOFYNOG4:validation:B005PNOLZ2,tail,19,15,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.1669435352087021,1,0.3709285855293274
A1BMET3MONQ1WE:validation:B000IBPD76,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4021930992603302,1,0.30907222628593445
A1BP92HYW0HQST:validation:B009NFG39K,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8589418530464172,1,0.31720224022865295
A1BPYFQGHDT5N7:validation:B000WNUU6Y,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.3283482789993286,1,0.310586154460907
A1BSKN1R7N6282:validation:B00DMC6KAC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5964928865432739,1,0.3418542146682739
A1BTH03TBAQGN8:validation:B0036WSVQ4,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.48190638422966003,1,0.36138448119163513
A1BVGOY4JCX83R:validation:B0044T2KBU,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.5588629841804504,1,0.30826902389526367
A1C1NYMABU3WCH:validation:B000N5QNSK,head,19,13,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.7458346486091614,1,0.3218599557876587
A1CJY7C4CVUG6X:validation:B003TREDXG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5611207485198975,1,0.33639463782310486
A1CL00EV5J84XM:validation:B00CM5D8QE,tail,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.20473119616508484,1,0.3711974620819092
A1COKCSTZBJJDQ:validation:B004DJ1EH2,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7489493489265442,1,0.30733034014701843
A1COPHQQFXQSNB:validation:B008DLS2SU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.43641147017478943,1,0.30736294388771057
A1CQ8RM067BZ9R:validation:B00471FMO2,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6357346773147583,1,0.30575162172317505
A1CXDPY0SLYP5P:validation:B000GBA60W,head,12,12,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.32759520411491394,1,0.30869728326797485
A1D51QC6ZZC265:validation:B003BMGU4Y,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.49220937490463257,1,0.31389933824539185
A1DBCHREMYNOVT:validation:B0016A3VAO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4420022964477539,1,0.3081594705581665
A1DD680S2WJXNQ:validation:B00GUABRNI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6499986052513123,1,0.36887240409851074
A1DU9PPNW1DLQU:validation:B008DW04UI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.33156269788742065,1,0.3096182346343994
A1DY0CRKZEY0FB:validation:B00FBW8NMO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6512191891670227,1,0.368989497423172
A1E187HKCDSKB0:validation:B009DOYVB8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.52424556016922,1,0.3101049065589905
A1E261P4ZYJUOA:validation:B00F14INUO,tail,7,7,1,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0,0,0.5292453169822693,1,0.34097903966903687
A1EJPGFTHL5MN3:validation:B002XQ7QJW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6276029944419861,1,0.30940473079681396
A1EOIFZ6RF03D0:validation:B00004U3F0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3804396688938141,1,0.3694712519645691
A1EQ8WXLL9CWEW:validation:B000N5H38Y,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.41877928376197815,1,0.30617374181747437
A1EU73CDBOWSJL:validation:B004P5O8I6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5285620093345642,1,0.3093743622303009
A1EUQ0LQ9LJPW3:validation:B0007Q1IO4,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.718220055103302,1,0.30627644062042236
A1EUT9DYQVQJ48:validation:B0040HRVN8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6780304908752441,1,0.3103262186050415
A1EVE3K48A2O55:validation:B000GX40PW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5086618065834045,1,0.30845850706100464
A1F1SITQRQ2W2F:validation:B003O85K14,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.34442412853240967,1,0.3094400465488434
A1F251BGO6LFEL:validation:B005GTJ0L0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4208327829837799,1,0.3079838752746582
A1F2GVLU0N972G:validation:B0038APBDA,head,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.38217446208000183,1,0.3686879873275757
A1F436AZUJH8P5:validation:B007U7LZQ4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3106839060783386,1,0.30997925996780396
A1F60SH7DRYBFO:validation:B008ACRPR6,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.41787272691726685,1,0.30610740184783936
A1FCQI065T3HYH:validation:B00BQYQY8Q,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4523351490497589,1,0.30501455068588257
A1FKQJ72DAP644:validation:B0000936KZ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7339668869972229,1,0.3368867039680481
A1FO0OXD0YRJ1V:validation:B00DPK10O2,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7867691516876221,1,0.3085281252861023
A1FT0QZX0L3RJD:validation:B004RSGBSQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.40013593435287476,1,0.30722421407699585
A1G24ZYOU6FVST:validation:B003ZHY0KG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5640985369682312,1,0.31230419874191284
A1G2BB1B5YXH8B:validation:B000NVBE1A,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.4362255334854126,1,0.340412437915802
A1G3LQTNG8V4HU:validation:B00D6N9162,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6535161137580872,1,0.3100808262825012
A1G8JKR78WJQ71:validation:B002LK0MFK,head,15,12,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.8208571672439575,1,0.3060819208621979
A1GA3XYWVS0O1:validation:B007U7M0WM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5638062357902527,1,0.30365490913391113
A1GA7HZGFBDTIU:validation:B00GSPF9QG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7488377094268799,1,0.36874428391456604
A1GF3E49S1E6EY:validation:B004QXY4ZE,head,13,13,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.30737221240997314,1,0.310966819524765
A1GGM0BV9NM95A:validation:B004081EKS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6208646893501282,1,0.3083617091178894
A1GP7SFKQ719HI:validation:B007RDGHP0,head,42,38,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.600584089756012,1,0.30549004673957825
A1GYEGLX3P2Y7P:validation:B00I2V01HQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5062998533248901,1,0.3096083104610443
A1H0P7ESJE2109:validation:B003WFKOSS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6196463704109192,1,0.3113318085670471
A1H3GIGRMYP36O:validation:B007WDPXFK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6406533122062683,1,0.31078866124153137
A1H4LM8XJL8NF6:validation:B0042QNP2S,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5171066522598267,1,0.36964482069015503
A1H8I2PH00UQ2K:validation:B007BDDK5Q,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6643714904785156,1,0.3370056748390198
A1HBSHN48V2YEC:validation:B00AW6YBAM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3329722285270691,1,0.3388811945915222
A1HKBGI59UP6IM:validation:B0043WCAPY,tail,15,48,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.35088014602661133,1,0.36963289976119995
A1HS9BEXAN1OCN:validation:B0046ZNIL8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4314434230327606,1,0.3359353542327881
A1HU9EGB5RCINO:validation:B00000JIVS,head,36,32,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.3883320093154907,1,0.3093458414077759
A1I07P9VZ8ZVCW:validation:B00CG5WVU4,tail,14,22,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.3402010500431061,1,0.3107844293117523
A1I0TCJKTY6K1H:validation:B008FKBU42,tail,3,7,1,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1,0,0.6357524991035461,1,0.34642183780670166
A1I3MX738N3H9M:validation:B00000JIVS,head,7,7,1,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0,0,0.36062297224998474,1,0.3051009774208069
A1IA3XI3O0N5RA:validation:B001EGYWT4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8124078512191772,1,0.36805135011672974
A1IAYAFKVYM22P:validation:B0038QB2K0,tail,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.2722063660621643,1,0.3687684237957001
A1IBOECOGTSKJO:validation:B004WNIR2Y,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5593651533126831,1,0.31210365891456604
A1IH6BL33256WK:validation:B00BJM2MF4,tail,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.2891445457935333,1,0.36956244707107544
A1INB5MQ687DPH:validation:B009F7L4TA,tail,,56,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.7252553701400757,1,0.30934226512908936
A1J1GBJREDREP:validation:B001DZMITW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.43687862157821655,1,0.3081541657447815
A1J34B2935KBLV:validation:B0051GTQVW,tail,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.25644469261169434,1,0.3363330066204071
A1J8N705ALHIQM:validation:B007B7LTE6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.45025986433029175,1,0.3130442202091217
A1J8V1JO2R4TMQ:validation:B004K1EZ38,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4849289357662201,1,0.3051678538322449
A1JWA03XL44ZGC:validation:B00762BMOI,head,41,34,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.4456765055656433,1,0.36919474601745605
A1K5VLKMIUXX6R:validation:B0055CAF6M,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.625713050365448,1,0.34328967332839966
A1K6IDFSP9X8BQ:validation:B001XOZPEI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.570833146572113,1,0.3119683563709259
A1K7KX3ZQW41QA:validation:B002B555QQ,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5154616832733154,1,0.3336305022239685
A1K84GJLQWFIQ7:validation:B00ECV5KSU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4815202057361603,1,0.3680218756198883
A1KDEZWBT04UFC:validation:B00A850R3W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3416813910007477,1,0.3464916944503784
A1KNK43A1WIDOG:validation:B006WZM79O,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.27154549956321716,1,0.37018531560897827
A1KQJEEZM3HB5N:validation:B00C58ICBO,tail,9,7,1,1.0,0.3010299956639812,1.0,1.0,0.3333333333333333,1.0,1,0,0.7694634795188904,1,0.30962616205215454
A1KRVDL5NX0989:validation:B000KIBA8S,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2976316213607788,1,0.3688287138938904
A1KZ64AH0E819Y:validation:B007XVYTNS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30755653977394104,1,0.3690223693847656
A1L15VDRPWAH16:validation:B004083ELK,head,6,4,1,1.0,0.3562071871080222,1.0,1.0,0.43067655807339306,1.0,1,0,0.6357278227806091,1,0.36988207697868347
A1L2HDNL4XFL4H:validation:B00GBMBOJ2,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6362512707710266,1,0.3701440393924713
A1L39B3I6KC7M2:validation:B005MKYHQG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5647556185722351,1,0.30808326601982117
A1L6C3SEXGC8Z7:validation:2914849648,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6357837319374084,1,0.31470316648483276
A1L98DRJRF712C:validation:B00000IV95,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.49854347109794617,1,0.3378435969352722
A1LA7U0YJZLCVU:validation:B004VYYA2K,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.3194831609725952,1,0.3410469889640808
A1LBEL3NLT7WKZ:validation:B0021EWY4S,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.42994847893714905,1,0.3423451781272888
A1LCYMIFXUT1IH:validation:B000GYWXSC,tail,6,49,1,1.0,0.3562071871080222,1.0,0.0,0.0,1.0,1,1,0.559853732585907,1,0.36992523074150085
A1LGK59VMYKLG3:validation:B0077NGTDU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.605034351348877,1,0.31206923723220825
A1LIV3VUYJG926:validation:B004K0DSDC,tail,,89,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.7059555649757385,1,0.36907827854156494
A1M1QHVH6CXU4Q:validation:B00BQYR0PC,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5068109631538391,1,0.30650562047958374
A1M1VHDTN07A1X:validation:B006UBLZLQ,head,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.2848730981349945,1,0.36808934807777405
A1M50LAH30B02A:validation:B00712O56A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3112419843673706,1,0.31173795461654663
A1MGBXKRVU3HE3:validation:B0002P5GD4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5123946070671082,1,0.30828481912612915
A1MYV8W0L2PPO6:validation:B001W30D2O,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.47019773721694946,1,0.31145358085632324
