arm,sample_key,target_group,graph_covered,baseline_rank,candidate_rank,baseline_Recall@5,baseline_NDCG@5,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,baseline_MRR,candidate_Recall@5,candidate_NDCG@5,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,candidate_MRR,target_in_baseline_beam50,target_in_candidate_beam50,new_hit_at10_outside_A_beam,changed,broad_harm
C,A3C89WADVMXRNL:6:B005UBN5AQ,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3DISSYWIF3W40:6:B0086LC0H6,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3DKP8M0GSP8UK:12:B000N773K0,tail,1,17,19,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1,1,0,1,0
C,A3EDB62V8SMP3:1:B0019SWVBI,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3EF6FNX2G4FD3:2:B00CXDVRU4,tail,1,6,5,0.0,0.0,1.0,0.3562071871080222,1.0,0.16666666666666666,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.2,1,1,0,1,0
C,A3EV788FCRKQYM:3:B0038U4TRO,tail,1,8,6,0.0,0.0,1.0,0.31546487678572877,1.0,0.125,0.0,0.0,1.0,0.3562071871080222,1.0,0.16666666666666666,1,1,0,1,0
C,A3EXWV8FNSSFL6:12:B004MBJKRC,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3EXWV8FNSSFL6:33:B00DSW9D7S,tail,1,3,2,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,A3F9EEHHEJ0088:1:B00027DDOQ,head,1,34,38,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,1,1,0,1,0
C,A3FQSDAMKM98B2:5:B0060A2QXI,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3G007LQX6KGOD:11:B001T8MN16,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3G1XSJ5RD0PIA:2:B004Z40048,head,1,2,2,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,A3GAQQZKTZIGEX:5:B001CJJ5NQ,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3GDEXMU9587JX:5:B000C230QM,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3GDEXMU9587JX:9:B00EATZYFI,tail,1,2,2,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,A3GVD3O9QG6I0V:22:B00GTC1JVM,head,1,7,10,0.0,0.0,1.0,0.3333333333333333,1.0,0.14285714285714285,0.0,0.0,1.0,0.2890648263178879,1.0,0.1,1,1,0,1,0
C,A3H2UW6OLVEWXA:5:B006T8BWUE,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3H62VYLEK8X1V:14:B000ALFROS,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
