dataset,sample_key,prefix,legal_children,teacher_mass_error
Beauty,A2GFMWMPWSDJPV:4:B001LNTNGC,0,108,1.1920928955078125e-07
Beauty,A2GOHBNQ58WOKC:23:B00EYZY5VC,0 11477,255,0.0
Beauty,A2IHBDN1KEBKPK:1:B000VPPUEA,0,108,0.0
Beauty,A2IHMUEERSGTVN:1:B004RKP8ZG,0 30551 12815,2,0.0
Beauty,A2IJL8K1WX0KJN:3:B00KCFAZTE,0,108,0.0
Beauty,A2J76QE7Q2SBB5:2:B00385WMH8,0,108,0.0
Beauty,A2JAEZ0FMAMJVW:8:B00A0J09G6,0 27323,69,0.0
Beauty,A2K275BRF912JB:4:B00AF9D4JK,0 16087 13514,3,0.0
Beauty,A2LXC5ZHHP0WXP:2:B003JA3KQE,0 11477 20634,6,0.0
Beauty,A2M84ZWGQJQE2N:2:B007BLN17K,0 11477,255,0.0
Beauty,A2NC9NHR78LGKJ:1:B005WTYEYW,0 12535,97,0.0
Beauty,A2NG9K9RZ1C527:1:B0007W1R58,0,108,0.0
Beauty,A2NIK7KXCZQIB:2:B000ZMBSPE,0,108,0.0
Beauty,A2OM4PIRW8A7GU:2:B007HPG4UQ,0 1453,73,0.0
Beauty,A2PU80LCKRMC9X:7:B000MI85FC,0,108,0.0
Beauty,A2PXWM4VAEE68F:5:B008Q0E714,0 18311 322,7,5.960464477539063e-08
Beauty,A2SK9YC54Y3XJ2:2:B000N94XPQ,0 1268,104,0.0
Beauty,A2SLY8QSOH7C5M:1:B005H8PTR4,0 11477,255,0.0
Beauty,A2T2MJT8LFLBXH:1:B004LE0YW0,0 768,82,0.0
Beauty,A2TBAUW2W7J538:3:B007RTR9G0,0,108,1.1920928955078125e-07
Beauty,A2TJEZCL7BH9SD:2:B003ES7GRA,0,108,0.0
Beauty,A2TK433EM0BHNT:1:B000I5MJ8S,0,108,0.0
Beauty,A2TVH2OBNXYXHV:1:B0043OYFKU,0 21628,90,0.0
Beauty,A2TVH2OBNXYXHV:4:B0030GFY02,0,108,0.0
Beauty,A2TW258U9067GW:3:B000TCIGBO,0,108,0.0
Beauty,A2UH6RF0UIJM8U:2:B002OVV7F0,0 18322 16137 8938,11,0.0
Beauty,A2WVL8IH40ZZUW:2:B002VTIV0E,0,108,0.0
Beauty,A2XHW8AG61FYIQ:19:B0030O3VRW,0,108,5.960464477539063e-08
Beauty,A2YROQDXASGW14:1:B001HKR7EE,0 21935,94,0.0
Beauty,A2Z3D9CIFCGMXB:4:B004OHQR1Q,0,108,0.0
Beauty,A2Z3RL11ABBFIS:1:B00ANFYEQS,0 5432 2412,5,0.0
Beauty,A2ZJF26DWW28MO:17:B0039B3KNQ,0,108,0.0
Beauty,A2ZJF26DWW28MO:23:B004IFOXFQ,0 8552 13064,11,0.0
Beauty,A3091RP0SPZLMN:15:B0016JFH3O,0 23159,133,0.0
Beauty,A3091RP0SPZLMN:46:B009FKNGGQ,0,108,0.0
Beauty,A30TZV0BSMUEME:1:B0012J135O,0,108,0.0
Beauty,A312UBIOP091MH:11:B009FKNGRA,0,108,0.0
Beauty,A31AJS00MHXH5:2:B00920R8QI,0 23159,132,0.0
Beauty,A31WUERWT46IKN:6:B00CNTJHQO,0,108,0.0
Beauty,A32378078NP470:2:B000VOLJGO,0 14517,54,0.0
Beauty,A32BV3CV1DJYCR:2:B000F35R00,0 16234,53,0.0
Beauty,A32YA9IZCYD88G:4:B00005NFBD,0 4194,43,0.0
Beauty,A33WQCNJD3JRK2:2:B006R7E6KA,0 1580,112,0.0
Beauty,A34KTJ4VWNBOHI:1:B00I0N24TY,0 18322,77,0.0
Beauty,A34WFXWOSQE50P:6:B008SYWGW0,0 7704 20164,2,0.0
Beauty,A3501POXYLNTN:1:B003ODETES,0 11477 6031 14260 4550,2,0.0
Beauty,A35QUXH3MFG81Q:3:B00AKHHPGA,0 21628 25669,3,0.0
Beauty,A37FFWZUGO8L7W:4:B00C0CVAY6,0 643,212,1.1920928955078125e-07
Beauty,A37I54S1TMF21O:2:B001BHUFTW,0 1268,104,0.0
Beauty,A38X2R3BOQGQZQ:4:B003VI0HVA,0,108,0.0
Beauty,A390XPHE9J7DBO:28:B00IT69F62,0 1268 2304,7,0.0
Beauty,A39LRXD7THXB4B:14:B005P02U8A,0,108,5.960464477539063e-08
Beauty,A39PE92UTLIR9X:1:B00076X0BS,0 21628 13635 17224 27536,2,0.0
Beauty,A3AGYO96T9M7MN:2:B00ANTO6YO,0 1268,104,0.0
Beauty,A3AHA8E28ZJ04Q:1:B000TK99NU,0,108,0.0
Beauty,A3C2JT2GQGB3E:3:B00GR4SSIY,0 768,82,0.0
