user_id	fold	history_group	target_popularity	target_source	baseline_rank	oof_rank	hit10_transition	oof_top10_new_gram_only	oof_top10_new_both	oof_top10_new_cf_only
AAP0J12JUSRV0	2	6-10	middle	union_miss	51	91	stable_miss	0	0	0
A2AKQ4GV4O4WAX	3	1-5	head	union_miss	51	91	stable_miss	0	1	0
AMT1MNZBNLXKD	2	1-5	middle	both	12	12	stable_miss	0	1	0
A2HHAV29CZ1OIE	2	11-20	middle	cf_only	51	50	stable_miss	0	1	0
A3SH01K0HA3TRA	0	6-10	middle	union_miss	51	91	stable_miss	0	3	1
AQL6BPMPUAE1C	2	6-10	head	cf_only	51	29	stable_miss	0	4	0
ASNFPAALNJQXV	2	6-10	tail	union_miss	51	91	stable_miss	0	1	1
AYI16C0RSN4MJ	2	1-5	head	union_miss	51	91	stable_miss	0	1	0
A13G1TKIKHGV3F	0	11-20	middle	union_miss	51	91	stable_miss	0	1	1
A2BCHYS6WXWR51	1	1-5	head	union_miss	51	91	stable_miss	1	1	1
A20LQ10S2BXFB7	3	1-5	tail	union_miss	51	91	stable_miss	0	0	1
A3GU5YTM2N686N	1	1-5	middle	union_miss	51	91	stable_miss	0	3	0
AGV8EKMALZ5EC	3	1-5	tail	union_miss	51	91	stable_miss	0	1	0
A1M85S3L9ROA17	2	1-5	head	union_miss	51	91	stable_miss	0	2	0
A126NOCKXALQ1M	2	1-5	tail	cf_only	51	17	stable_miss	0	0	0
A351P608RSUSIE	4	6-10	tail	union_miss	51	91	stable_miss	0	2	1
A3SUP9JD9FDHN2	2	6-10	tail	union_miss	51	91	stable_miss	0	1	0
A1DSNDU1A7CIXG	1	1-5	middle	gram_only	11	17	stable_miss	1	0	0
A3O1EFKA6UXFHR	0	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A1KJ0AM0ZPU5CH	2	1-5	tail	both	2	2	stable_hit	1	0	0
A7Z7DCSWMUIB0	3	11-20	head	union_miss	51	91	stable_miss	1	0	0
A2ZND6EBWK26P3	0	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A1IGBE82U1KY7V	2	6-10	head	union_miss	51	91	stable_miss	0	3	0
A2HV3TCKVDTM0Y	1	1-5	head	union_miss	51	91	stable_miss	0	1	0
A4D5ASPW2285	3	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A2M1QMMRCPNIII	4	6-10	tail	gram_only	29	46	stable_miss	0	3	0
A3V1A3C9DTLPME	2	11-20	tail	union_miss	51	91	stable_miss	0	2	1
A3VEFQ25OSXMOQ	2	11-20	tail	gram_only	27	29	stable_miss	1	1	1
A3JSJ3UVCN1GTK	3	1-5	head	union_miss	51	91	stable_miss	0	1	1
A1FKQJ72DAP644	0	6-10	middle	union_miss	51	91	stable_miss	0	3	0
A1JZH8PYQ0WYT2	4	6-10	middle	union_miss	51	91	stable_miss	0	2	0
A39UX5CZ9X2ZIO	1	1-5	head	both	1	1	stable_hit	0	0	0
A2OTFJUMQF12ZC	2	11-20	head	union_miss	51	91	stable_miss	0	0	3
A30QAOLNZ4415R	2	11-20	middle	gram_only	36	33	stable_miss	0	1	0
AKHFP1INL3F8L	1	1-5	middle	union_miss	51	91	stable_miss	1	1	1
ASH0DZQQF6AIZ	0	6-10	head	both	10	8	stable_hit	0	1	0
A26PUE4D9CPFLH	0	6-10	middle	union_miss	51	91	stable_miss	0	3	0
A17OMSVH3BFNSY	4	1-5	tail	union_miss	51	91	stable_miss	0	1	0
A1GAVCDCJJ78OX	2	1-5	head	union_miss	51	91	stable_miss	0	0	0
A1BCDC7CT8NZJA	2	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A1CXGXJZZ3AXR5	2	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A3OPRY7N8UT2HU	0	11-20	tail	cf_only	51	70	stable_miss	0	0	1
A9XMQ24ZKXYSN	2	11-20	head	gram_only	9	18	loss	0	4	0
A2ZGFG276Z2IT2	4	6-10	middle	union_miss	51	91	stable_miss	0	2	1
A145IIE66GBQ1T	1	1-5	tail	cf_only	51	39	stable_miss	0	1	0
A53YUKLHZYRSU	1	1-5	tail	union_miss	51	91	stable_miss	0	0	0
A37273MDBJ4XPQ	2	1-5	middle	union_miss	51	91	stable_miss	1	0	3
A11XOIJ7WKSFWV	1	1-5	head	union_miss	51	91	stable_miss	0	3	0
A1O6L5PA7H4MK6	2	1-5	tail	union_miss	51	91	stable_miss	0	2	0
AWN8Q7FYS4G09	4	6-10	middle	union_miss	51	91	stable_miss	0	0	2
A1Y27QNN0P9HJ	4	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A89KFOCKCO0OA	1	1-5	head	both	3	2	stable_hit	0	4	0
AK627XIXYOYT7	4	1-5	head	both	3	2	stable_hit	0	1	0
A1A6LGM4ULJASA	0	1-5	head	union_miss	51	91	stable_miss	0	2	0
AK7NGNU7JI215	3	1-5	head	union_miss	51	91	stable_miss	1	0	1
A1LLR2EA1X6J6M	3	11-20	tail	union_miss	51	91	stable_miss	0	2	0
AN3RI8LIDGS9H	0	1-5	head	gram_only	26	34	stable_miss	0	0	2
A3NKHJH206QS6L	4	1-5	middle	union_miss	51	91	stable_miss	0	2	1
A3MYF59QZOAN67	3	1-5	tail	union_miss	51	91	stable_miss	0	2	0
A3EPCLPKIOTTL	3	11-20	middle	union_miss	51	91	stable_miss	1	1	1
AS848NI1BHSJB	2	6-10	head	cf_only	51	20	stable_miss	0	2	0
A1V7UFSX0F1PJY	0	6-10	middle	union_miss	51	91	stable_miss	0	1	0
