dataset,user,split,sample_hash,depth,child_count,history_length,donor_overlap_max,lp_clean,lp_corrupt,lp_no_cf,cf_utility,cf_margin,helpful,sensitivity_deficit,visible_length_identity,metadata_start_identity
Toys,A25E20TLQOEC77,fit,0087b20c1bea26d0f5488078f42ea82443b474630789252c7ebccd8f7c081aff,0,30,3,0.1111111111111111,-3.331326484680176,-3.5829508304595947,-3.1356189250946045,-0.1957075595855713,0.25162434577941895,False,False,True,True
Toys,A25E20TLQOEC77,fit,0087b20c1bea26d0f5488078f42ea82443b474630789252c7ebccd8f7c081aff,1,24,3,0.1111111111111111,-2.705092668533325,-2.494875192642212,-3.1299495697021484,0.42485690116882324,-0.21021747589111328,True,True,True,True
Toys,A25E20TLQOEC77,fit,0087b20c1bea26d0f5488078f42ea82443b474630789252c7ebccd8f7c081aff,2,23,3,0.1111111111111111,-0.8357061743736267,-2.341681957244873,-3.486213207244873,2.6505070328712463,1.5059757828712463,True,False,True,True
Toys,A25E20TLQOEC77,fit,0087b20c1bea26d0f5488078f42ea82443b474630789252c7ebccd8f7c081aff,3,1,3,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A25E20TLQOEC77,fit,0087b20c1bea26d0f5488078f42ea82443b474630789252c7ebccd8f7c081aff,4,1,3,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A3V2MLAFHFJ9CX,fit,008bae3d260cddd7df04563280329b185dd917f7ab732c23336680cb9b0beea5,0,30,4,0.0,-0.6631551384925842,-1.0861347913742065,-0.9223074316978455,0.25915229320526123,0.4229796528816223,True,False,True,True
Toys,A3V2MLAFHFJ9CX,fit,008bae3d260cddd7df04563280329b185dd917f7ab732c23336680cb9b0beea5,1,23,4,0.0,-0.670395016670227,-2.292994737625122,-1.8930288553237915,1.2226338386535645,1.622599720954895,True,False,True,True
Toys,A3V2MLAFHFJ9CX,fit,008bae3d260cddd7df04563280329b185dd917f7ab732c23336680cb9b0beea5,2,12,4,0.0,-0.8301376104354858,-2.620471477508545,-2.934560537338257,2.104422926902771,1.790333867073059,True,False,True,True
Toys,A3V2MLAFHFJ9CX,fit,008bae3d260cddd7df04563280329b185dd917f7ab732c23336680cb9b0beea5,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A3V2MLAFHFJ9CX,fit,008bae3d260cddd7df04563280329b185dd917f7ab732c23336680cb9b0beea5,4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A2WT9FBIC8G2UR,fit,008d86ba143f07a11dae37ea65c64d7615134398eaaa00b05b7b67004a9c2f50,0,30,7,0.0,-0.009647294878959656,-0.17430801689624786,-0.02744213305413723,0.017794838175177574,0.1646607220172882,True,False,True,True
Toys,A2WT9FBIC8G2UR,fit,008d86ba143f07a11dae37ea65c64d7615134398eaaa00b05b7b67004a9c2f50,1,24,7,0.0,-0.3845897614955902,-0.6070983409881592,-0.4159277677536011,0.031338006258010864,0.22250857949256897,True,False,True,True
Toys,A2WT9FBIC8G2UR,fit,008d86ba143f07a11dae37ea65c64d7615134398eaaa00b05b7b67004a9c2f50,2,186,7,0.0,-0.5286314487457275,-1.2625033855438232,-0.9286712408065796,0.40003979206085205,0.7338719367980957,True,False,True,True
