item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B003EO466S,8552 3198 12970 3200 18514 5864 21058,8552 3198 12970 3200 18514 5864,11,15,-22.54836654663086,-26.14668083190918,0.0,-1.6522455548987143
B003EO46R2,30551 13726 10362 2884 2908 6001 8857,30551 13726 10362 2884 2908 6001,3,8,-24.163761138916016,-17.640981674194336,0.0,-1.0634353484538082
B003EPW434,3022 19496 5497 16219 14550 6461 15061,3022 19496 5497 16219 14550 6461,8,6,-21.980098724365234,-28.340139389038086,0.0,-2.2190025300493907
B003ES7GRA,3575 7102 7687 14574 10594 4388 4976,3575 7102 7687 14574 10594 4388,5,6,-21.340139389038086,-21.544673919677734,0.0,-1.7836844587915461
B003EUP3O6,16087 5604 24367 17387 82 4094 1513,16087 5604 24367 17387 82 4094,14,23,-21.790205001831055,-16.60990333557129,0.0,-1.467886771731127
B003EUR1D2,18311 5604 24367 17387 82 4094 13222,18311 5604 24367 17387 82 4094,18,54,-21.6363525390625,-17.69342803955078,0.0,-0.8703085738697922
B003EUSRNA,643 16859 24367 17387 2890 752 19835,643 16859 24367 17387 2890 752,4,14,-23.57941246032715,-23.72488784790039,0.0,-0.7806672908044572
B003EXG5XQ,3361 7284 1817 6883 28807 7590 15122,3361 7284 1817 6883 28807 7590,7,4,-23.564590454101562,-14.654970169067383,0.0,-2.4615641672207023
B003F25CNK,2452 13983 12868 835 15239 11617 221,2452 13983 12868 835 15239 11617,6,14,-20.83327293395996,-13.477746963500977,0.0,-1.1483920709297735
B003F26DCO,3022 5379 4440 15967 2576 1822 1997,3022 5379 4440 15967 2576 1822,6,0,-21.11701011657715,-14.614065170288086,0.0,-4.515687900916248
B003F2T0M4,2256 18322 975 3575 20084 3438 719,2256 18322 975 3575 20084 3438,56,177,-20.551664352416992,-21.44157600402832,0.0,-0.8060085726916366
B003F6VJ0G,2131 25021 28833 324 24971 12063 1041,2131 25021 28833 324 24971 12063,5,3,-22.385711669921875,-12.661186218261719,0.0,-2.402723667197769
B003F7WQGQ,3022 18075 3157 10643 10684 14466 11397,3022 18075 3157 10643 10684 14466,13,76,-23.651010513305664,-21.103187561035156,0.0,-0.2161374880666056
