config_id,beta,lambda,tau,min_support,active_rate,n,recall@5,recall@10,recall@50,ndcg@5,ndcg@10,ndcg@50,ndcg@10_relative_delta,recall@10_absolute_delta,tail_ndcg@10_relative_delta,uncovered_recall@10_relative_delta,uncovered_ndcg@10_relative_delta,dataset_pass,dataset
b0.25_l0.05_t0.75_s1,0.25,0.05,0.75,1,0.8638471048835772,19412,0.09159282917782814,0.12054399340614053,0.21193076447558212,0.06735445461455077,0.07665256556819712,0.09669151635132149,0.00495645645029108,0.0011333195961261006,0.015742782114857024,-0.018115942028985588,-0.03659607537523435,False,Toys
b0.25_l0.05_t0.75_s2,0.25,0.05,0.75,2,0.8638471048835772,19412,0.09123222748815166,0.11992581908098084,0.21193076447558212,0.06728233477417322,0.07648985306362309,0.09664002995965613,0.0028232078002978778,0.0005151452709664106,0.007766543565724149,-0.0036231884057971175,-0.011347952688654406,False,Toys
b0.25_l0.2_t0.5_s1,0.25,0.2,0.5,1,0.9624974242736452,19412,0.09123222748815166,0.12255305996290954,0.21193076447558212,0.06749509499177314,0.07758009313415466,0.09720231356637193,0.01711684285138748,0.0031423861528951103,0.06513164414475714,-0.10507246376811585,-0.16964844021341607,False,Toys
b0.25_l0.2_t0.5_s2,0.25,0.2,0.5,2,0.9624974242736452,19412,0.09226251803008448,0.12085308056872038,0.21193076447558212,0.06795055576652904,0.07712789670780942,0.09708698576082733,0.011188303932033294,0.0014424067587059525,0.031912485237374444,-0.018115942028985588,-0.03738270626839579,False,Toys
b0.25_l0.2_t0.75_s1,0.25,0.2,0.75,1,0.8638471048835772,19412,0.09118071296105502,0.12239851638161962,0.21193076447558212,0.06744464404573453,0.07750647362133997,0.09716019236690192,0.016151651351593133,0.002987842571605198,0.06048165984741716,-0.09661835748792269,-0.15713564625497545,False,Toys
b0.25_l0.2_t0.75_s2,0.25,0.2,0.75,2,0.8638471048835772,19412,0.0921594889758912,0.12095610962291366,0.21193076447558212,0.06790230659016631,0.07714446997686447,0.09706875280873492,0.011405588423659907,0.0015454358128992318,0.0317400582523788,-0.016908212560386437,-0.036327603740475944,False,Toys
b0_l0.05_t0.5_s1,0.0,0.05,0.5,1,0.9839914143898404,22363,0.077449358315074,0.10915351249832313,0.2081116129320753,0.05504786982087272,0.06525760576005737,0.0868929984775722,0.004369507277833806,0.0004024504762330655,0.01882243999116051,-0.05244122965641962,-0.0813731555674102,False,Beauty
b0_l0.05_t0.5_s2,0.0,0.05,0.5,2,0.9839914143898404,22363,0.07780709207172562,0.10866162858292716,0.2081116129320753,0.05518893293822964,0.06515879442821852,0.08691343760783508,0.0028487176699933947,-8.943343916290036e-05,0.008635827834132748,-0.018083182640144746,-0.027404280166313022,False,Beauty
b0_l0.05_t0.75_s1,0.0,0.05,0.75,1,0.9049769708894155,22363,0.07749407503465545,0.10924294593748603,0.2081116129320753,0.055071842750289944,0.06529251041710295,0.08689462215318554,0.0049067193436191925,0.0004918839153959659,0.018886761299076182,-0.05063291139240511,-0.07816128022160063,False,Beauty
b0_l0.05_t0.75_s2,0.0,0.05,0.75,2,0.9049769708894155,22363,0.07780709207172562,0.10870634530250861,0.2081116129320753,0.05519513277205576,0.06517689744911895,0.08691796705293217,0.003127338406537783,-4.471671958145018e-05,0.008555475607896934,-0.018083182640144746,-0.027015863214264524,False,Beauty
b0_l0.2_t0.5_s1,0.0,0.2,0.5,1,0.9839914143898404,22363,0.07592898984930466,0.10812502794794975,0.2081116129320753,0.05412646956676917,0.06448629528074605,0.08636715490365003,-0.007501610533514169,-0.0006260340741403164,0.05256703679050623,-0.2368896925858952,-0.31508188298844186,False,Beauty
b0_l0.2_t0.5_s2,0.0,0.2,0.5,2,0.9839914143898404,22363,0.07691275768009659,0.10830389482627555,0.2081116129320753,0.05483855647795068,0.06497066248028689,0.08680251254040733,-4.6791438049531564e-05,-0.0004471671958145157,0.0264203270773391,-0.06329113924050633,-0.0970164008833001,False,Beauty
b0_l0.2_t0.75_s1,0.0,0.2,0.75,1,0.9049769708894155,22363,0.07601842328846756,0.1081697446675312,0.2081116129320753,0.05416778971279976,0.06450341981713027,0.08634326538964596,-0.007238049497673815,-0.0005813173545588662,0.04923452176682086,-0.22061482820976486,-0.2936363117148304,False,Beauty
b0_l0.2_t0.75_s2,0.0,0.2,0.75,2,0.9049769708894155,22363,0.07709162455842239,0.108348611545857,0.2081116129320753,0.05493382045213242,0.06501722879747611,0.08683377399129998,0.0006699033978450064,-0.0004024504762330655,0.02631784802720416,-0.06329113924050633,-0.09501950510606405,False,Beauty
b0.25_l0.05_t0.5_s1,0.25,0.05,0.5,1,0.9873004516388678,22363,0.0773599248759111,0.10897464561999731,0.2081116129320753,0.05497073220928033,0.06515101722132884,0.08683961305533779,0.002729019906632102,0.0002235835979072509,0.02060256700690455,-0.06509945750452084,-0.10035692767759785,False,Beauty
b0.25_l0.05_t0.5_s2,0.25,0.05,0.5,2,0.9873004516388678,22363,0.07780709207172562,0.10861691186334571,0.2081116129320753,0.055179158880399794,0.06513192147180806,0.08690438158945701,0.0024351202406251993,-0.00013415015874435054,0.009286105056032667,-0.02350813743218816,-0.03617493912631997,False,Beauty
b0.25_l0.05_t0.75_s1,0.25,0.05,0.75,1,0.9190627375575727,22363,0.07740464159549255,0.10906407905916023,0.2081116129320753,0.054987710127086434,0.0651784981193306,0.08683572642901384,0.0031519740690491016,0.00031301703707016515,0.020578311149752837,-0.06329113924050633,-0.09764468976008467,False,Beauty
b0.25_l0.05_t0.75_s2,0.25,0.05,0.75,2,0.9190627375575727,22363,0.07780709207172562,0.10866162858292716,0.2081116129320753,0.05517915888039981,0.0651487593448766,0.08690954999405545,0.0026942692866327445,-8.943343916290036e-05,0.009243600810316943,-0.02350813743218816,-0.03601776157590464,False,Beauty
b0.25_l0.2_t0.5_s1,0.25,0.2,0.5,1,0.9873004516388678,22363,0.07628672360595627,0.10790144435004248,0.2081116129320753,0.05430756614527021,0.06443803364071625,0.08636481663487452,-0.008244397815587834,-0.0008496176720475812,0.05837872610854711,-0.274864376130199,-0.3618213693033887,False,Beauty
b0.25_l0.2_t0.5_s2,0.25,0.2,0.5,2,0.9873004516388678,22363,0.07659974064302642,0.1082591781066941,0.2081116129320753,0.05456742053407271,0.06476484935166267,0.08660159576089316,-0.0032144288065988347,-0.0004918839153959659,0.031660019600822986,-0.08318264014466548,-0.12332240687299434,False,Beauty
b0.25_l0.2_t0.75_s1,0.25,0.2,0.75,1,0.9190627375575727,22363,0.07637615704511917,0.10799087778920538,0.2081116129320753,0.05434072680309743,0.06446024774846469,0.08633868942076207,-0.007902503990430465,-0.0007601842328846808,0.05677182858063645,-0.25858951175406875,-0.33840120780769234,False,Beauty
b0.25_l0.2_t0.75_s2,0.25,0.2,0.75,2,0.9190627375575727,22363,0.07668917408218934,0.108348611545857,0.2081116129320753,0.05460903733674111,0.06480437322438129,0.08661715119283261,-0.0026061231216788494,-0.0004024504762330655,0.031617515355107484,-0.08137432188065108,-0.12074222496216513,False,Beauty
