dataset,dimension,stratum,metric,n,effect,ci95_low,ci95_high,interval_method
Beauty,history_group,long,C_minus_B_kendall,109,-0.020400674031080323,-0.034780003744617115,-0.0064849279161205845,bootstrap seed=2023 B=10000
Beauty,history_group,long,B_rank_change_vs_A,109,-0.3853211009174312,-1.311926605504587,0.30275229357798167,bootstrap seed=2023 B=10000
Beauty,history_group,long,C_rank_change_vs_A,109,0.07339449541284404,-0.3761467889908257,0.5229357798165137,bootstrap seed=2023 B=10000
Beauty,history_group,long,C_minus_B_rank_change,109,0.45871559633027525,-0.4036697247706422,1.5596330275229358,bootstrap seed=2023 B=10000
Beauty,history_group,long,B_broad_harm,109,0.009174311926605505,0.0,0.027522935779816515,bootstrap seed=2023 B=10000
Beauty,history_group,long,C_broad_harm,109,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,low,C_minus_B_kendall,128,-0.020025510204081633,-0.032104910714285714,-0.00757621173469388,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,low,B_rank_change_vs_A,128,0.0078125,-0.4375,0.4375,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,low,C_rank_change_vs_A,128,-0.2734375,-0.7421875,0.125,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,low,C_minus_B_rank_change,128,-0.28125,-0.890625,0.265625,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,low,B_broad_harm,128,0.0078125,0.0,0.0234375,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,low,C_broad_harm,128,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,high,C_minus_B_kendall,128,-0.017512755102040818,-0.030803890306122454,-0.004374043367346955,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,high,B_rank_change_vs_A,128,-0.328125,-1.1171875,0.1953125,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,high,C_rank_change_vs_A,128,0.25,-0.21875,0.7109375,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,high,C_minus_B_rank_change,128,0.578125,-0.1484375,1.5234375,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,high,B_broad_harm,128,0.0078125,0.0,0.0234375,bootstrap seed=2023 B=10000
Beauty,teacher_margin_group,high,C_broad_harm,128,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,transition_covered,0,C_minus_B_kendall,1,0.003265306122448977,0.003265306122448977,0.003265306122448977,bootstrap seed=2023 B=10000
Beauty,transition_covered,0,B_rank_change_vs_A,1,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,transition_covered,0,C_rank_change_vs_A,1,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,transition_covered,0,C_minus_B_rank_change,1,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,transition_covered,0,B_broad_harm,1,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,transition_covered,0,C_broad_harm,1,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,transition_covered,1,C_minus_B_kendall,255,-0.018855542216886755,-0.028126450580232092,-0.009783113245298118,bootstrap seed=2023 B=10000
Beauty,transition_covered,1,B_rank_change_vs_A,255,-0.1607843137254902,-0.6,0.19607843137254902,bootstrap seed=2023 B=10000
Beauty,transition_covered,1,C_rank_change_vs_A,255,-0.011764705882352941,-0.3373529411764705,0.3058823529411765,bootstrap seed=2023 B=10000
Beauty,transition_covered,1,C_minus_B_rank_change,255,0.14901960784313725,-0.33725490196078434,0.7098039215686275,bootstrap seed=2023 B=10000
Beauty,transition_covered,1,B_broad_harm,255,0.00784313725490196,0.0,0.0196078431372549,bootstrap seed=2023 B=10000
Beauty,transition_covered,1,C_broad_harm,255,0.0,0.0,0.0,bootstrap seed=2023 B=10000
