user,stratum,history_length,lp_current,lp_metadata_first_full,lp_metadata_first_minus_all_recovered,lp_metadata_first_minus_recovered_slice8,lp_metadata_first_minus_matched_visible_slice8,net_reallocation,recovered_all_contribution,residual_layout_effect,recovered_slice8_contribution,matched_visible_slice8_contribution
AEDW02H5TT0LJ,tail_hit,5,-0.9015401601791382,-1.1941598653793335,-1.0231751203536987,-1.1817301511764526,-1.171385645866394,-0.2926197052001953,-0.17098474502563477,-0.12163496017456055,-0.01242971420288086,-0.022774219512939453
A4R79I9TIZDPR,tail_hit,4,-0.4767313003540039,-1.2598285675048828,-1.2781018018722534,-1.2441864013671875,-1.2740318775177002,-0.7830972671508789,0.018273234367370605,-0.8013705015182495,-0.015642166137695312,0.014203310012817383
A2JO2R4FX91KD2,tail_hit,6,-0.6039398908615112,-12.415253639221191,-12.179081916809082,-12.390212059020996,-12.106623649597168,-11.81131374835968,-0.23617172241210938,-11.57514202594757,-0.025041580200195312,-0.30862998962402344
A25FX5SH169PWQ,tail_hit,3,-0.8885330557823181,-1.4086201190948486,-1.194908857345581,-1.357765555381775,-1.4629719257354736,-0.5200870633125305,-0.21371126174926758,-0.30637580156326294,-0.05085456371307373,0.054351806640625
A3FNDWADUT516X,tail_hit,4,-0.8790567517280579,-1.2441589832305908,-1.2639814615249634,-1.2954552173614502,-1.2487164735794067,-0.36510223150253296,0.01982247829437256,-0.3849247097969055,0.051296234130859375,0.004557490348815918
A2K4HN6EECBNR3,tail_hit,20,-0.8269520401954651,-1.3388023376464844,-1.4619277715682983,-1.3663774728775024,-1.3847453594207764,-0.5118502974510193,0.12312543392181396,-0.6349757313728333,0.027575135231018066,0.04594302177429199
A3BE0FXM74OHSK,tail_hit,4,-0.41551724076271057,-2.4477365016937256,-2.483994722366333,-2.4241878986358643,-2.445903778076172,-2.032219260931015,0.03625822067260742,-2.0684774816036224,-0.023548603057861328,-0.001832723617553711
A3VEY6S5325K20,tail_hit,4,-0.8713321089744568,-0.781095027923584,-1.1427067518234253,-0.8473720550537109,-0.9344852566719055,0.0902370810508728,0.3616117238998413,-0.2713746428489685,0.06627702713012695,0.15339022874832153
A3B8498BJESEGB,tail_hit,3,-0.06709475070238113,-0.1290419101715088,-0.09160792827606201,-0.11975202709436417,-0.1251598447561264,-0.061947159469127655,-0.03743398189544678,-0.024513177573680878,-0.009289883077144623,-0.0038820654153823853
A2KZ88FJPSBU8E,tail_hit,5,-0.8030425906181335,-0.6497573256492615,-0.6174221634864807,-0.6429476737976074,-0.6245059967041016,0.15328526496887207,-0.03233516216278076,0.18562042713165283,-0.006809651851654053,-0.025251328945159912
AVELT2UOALKEM,tail_hit,4,-0.46584048867225647,-1.5286246538162231,-0.9125675559043884,-1.5119892358779907,-1.4039956331253052,-1.0627841651439667,-0.6160570979118347,-0.44672706723213196,-0.016635417938232422,-0.12462902069091797
A6LD1EKWZB49M,tail_hit,3,-0.16049699485301971,-9.582868576049805,-9.676910400390625,-9.397245407104492,-9.344138145446777,-9.422371581196785,0.09404182434082031,-9.516413405537605,-0.1856231689453125,-0.23873043060302734
A3NQHL0D2ODQQL,tail_hit,6,-0.001393940532580018,-2.4511778354644775,-2.7800586223602295,-2.415776491165161,-2.451307535171509,-2.4497838949318975,0.32888078689575195,-2.7786646818276495,-0.035401344299316406,0.00012969970703125
A2LBR5V8W5JCHD,tail_hit,9,-0.8731130361557007,-1.3008911609649658,-1.1759809255599976,-1.3155699968338013,-1.3223875761032104,-0.42777812480926514,-0.12491023540496826,-0.3028678894042969,0.01467883586883545,0.02149641513824463
A1I1PLTN223ERB,tail_hit,3,-0.34258177876472473,-0.31909558176994324,-0.3182189166545868,-0.316973477602005,-0.3250046372413635,0.023486196994781494,-0.0008766651153564453,0.02436286211013794,-0.0021221041679382324,0.005909055471420288
A2CQCK7SRD2J02,tail_hit,4,-0.5862621665000916,-0.7756338715553284,-0.7093775868415833,-0.7791334986686707,-0.8171991109848022,-0.18937170505523682,-0.06625628471374512,-0.1231154203414917,0.003499627113342285,0.04156523942947388
A1BVALMLWA8IW3,tail_hit,3,-0.5849550366401672,-1.6085784435272217,-1.6305958032608032,-1.5893572568893433,-1.6025464534759521,-1.0236234068870544,0.022017359733581543,-1.045640766620636,-0.019221186637878418,-0.006031990051269531
A2RWR4QOMFFO63,tail_hit,4,-0.9157703518867493,-0.8871074914932251,-0.9793975353240967,-0.887097954750061,-0.8940087556838989,0.02866286039352417,0.09229004383087158,-0.06362718343734741,-9.5367431640625e-06,0.006901264190673828
A13NR8NV9C8VVZ,tail_hit,8,-0.33597785234451294,-12.859457969665527,-12.544732093811035,-12.817728996276855,-12.833970069885254,-12.523480117321014,-0.3147258758544922,-12.208754241466522,-0.041728973388671875,-0.025487899780273438
A32TCWAILP09A2,tail_hit,6,-0.6088709235191345,-11.840919494628906,-12.106972694396973,-11.673688888549805,-11.761870384216309,-11.232048571109772,0.2660531997680664,-11.498101770877838,-0.16723060607910156,-0.07904911041259766
A2T7QV5SLJXBN8,tail_hit,3,-0.6896587014198303,-1.59476637840271,-1.610721230506897,-1.5881679058074951,-1.5928866863250732,-0.9051076769828796,0.01595485210418701,-0.9210625290870667,-0.006598472595214844,-0.0018796920776367188
AOAOARIH72UWI,tail_hit,20,-0.7076719999313354,-0.6059260368347168,-0.5772876739501953,-0.6088999509811401,-0.5989639759063721,0.10174596309661865,-0.028638362884521484,0.13038432598114014,0.00297391414642334,-0.0069620609283447266
A6JSPMY3YH1K,tail_hit,14,-0.07176058739423752,-0.06360678374767303,-0.0875830426812172,-0.06140020117163658,-0.05728248879313469,0.008153803646564484,0.02397625893354416,-0.015822455286979675,-0.0022065825760364532,-0.006324294954538345
AEZD6FM4V0BZL,tail_hit,3,-0.689867377281189,-0.8190081715583801,-0.7315829992294312,-0.7797644734382629,-0.8005470037460327,-0.12914079427719116,-0.08742517232894897,-0.04171562194824219,-0.03924369812011719,-0.018461167812347412
AZ2UU2UYXECYX,tail_hit,6,-0.7553308606147766,-0.723176121711731,-0.6906459927558899,-0.7103420495986938,-0.7140239477157593,0.032154738903045654,-0.032530128955841064,0.06468486785888672,-0.01283407211303711,-0.00915217399597168
A2DQQUEPK53ORW,tail_hit,7,-0.5325320959091187,-0.42913728952407837,-0.4508753716945648,-0.4394790530204773,-0.42778196930885315,0.10339480638504028,0.02173808217048645,0.08165672421455383,0.010341763496398926,-0.0013553202152252197
A2C0SBRSJNEDPW,tail_hit,4,-0.5726613402366638,-9.346147537231445,-9.145711898803711,-9.367599487304688,-9.434060096740723,-8.773486196994781,-0.20043563842773438,-8.573050558567047,0.021451950073242188,0.08791255950927734
A2ZY49IDE6TY5I,tail_hit,20,-0.1550038903951645,-5.82953405380249,-5.798278331756592,-5.831730365753174,-5.833739280700684,-5.674530163407326,-0.03125572204589844,-5.643274441361427,0.0021963119506835938,0.004205226898193359
A2GAR1ZPZFO28,tail_hit,8,-0.3945653438568115,-0.9475134611129761,-0.9958443641662598,-0.9500671029090881,-0.9420295357704163,-0.5529481172561646,0.04833090305328369,-0.6012790203094482,0.0025536417961120605,-0.0054839253425598145
A4ZGDN3SEMB7T,tail_hit,7,-0.3931385576725006,-2.0634727478027344,-2.1809213161468506,-2.103654384613037,-2.054630756378174,-1.6703341901302338,0.11744856834411621,-1.78778275847435,0.040181636810302734,-0.008841991424560547
A2RJTIE73NPN3C,tail_hit,3,-0.6285828948020935,-1.9474843740463257,-1.882664442062378,-2.0062832832336426,-1.9601093530654907,-1.3189014792442322,-0.06481993198394775,-1.2540815472602844,0.058798909187316895,0.012624979019165039
A1BZHQ8C4F0M3T,tail_hit,5,-1.1275880336761475,-0.9932318329811096,-0.9695325493812561,-0.9841954112052917,-1.0383527278900146,0.13435620069503784,-0.023699283599853516,0.15805548429489136,-0.009036421775817871,0.04512089490890503
A1UXNOX03UE9F4,tail_hit,5,-0.36913731694221497,-13.72672176361084,-13.942045211791992,-13.687233924865723,-13.690528869628906,-13.357584446668625,0.21532344818115234,-13.572907894849777,-0.03948783874511719,-0.036192893981933594
AU1QS79HSMNFV,tail_hit,3,-0.5306318998336792,-1.2330173254013062,-1.024932622909546,-1.2171556949615479,-1.240596055984497,-0.702385425567627,-0.20808470249176025,-0.4943007230758667,-0.0158616304397583,0.007578730583190918
A1SAHMB8L5XG2D,tail_hit,15,-0.8137955665588379,-0.9522959589958191,-0.9893108606338501,-0.9820245504379272,-0.9378157258033752,-0.1385003924369812,0.037014901638031006,-0.1755152940750122,0.029728591442108154,-0.014480233192443848
A33H01BTWQ1H7X,tail_hit,4,-0.37062835693359375,-1.1181334257125854,-1.1073535680770874,-1.114303708076477,-1.1182159185409546,-0.7475050687789917,-0.010779857635498047,-0.7367252111434937,-0.0038297176361083984,8.249282836914062e-05
A1KQJNUMPXAQWQ,tail_hit,5,-0.4932219386100769,-2.0665600299835205,-2.236435890197754,-2.0663914680480957,-1.9990888833999634,-1.5733380913734436,0.1698758602142334,-1.743213951587677,-0.0001685619354248047,-0.06747114658355713
A8BI1AL5ITVDO,tail_hit,3,-0.4782586097717285,-0.506194531917572,-0.8300336599349976,-0.5959449410438538,-0.5050581097602844,-0.027935922145843506,0.32383912801742554,-0.35177505016326904,0.08975040912628174,-0.0011364221572875977
A265KF0CQ058RZ,tail_hit,5,-0.8502799272537231,-2.803664445877075,-2.8602006435394287,-2.8436543941497803,-2.8544209003448486,-1.953384518623352,0.056536197662353516,-2.0099207162857056,0.03998994827270508,0.05075645446777344
A1S4J5EF987DZV,tail_hit,3,-0.03115011379122734,-1.4451507329940796,-1.4775384664535522,-1.323574185371399,-1.4369093179702759,-1.4140006192028522,0.032387733459472656,-1.446388352662325,-0.12157654762268066,-0.008241415023803711
A2AIRFEAWEQC91,tail_hit,13,-0.6683789491653442,-0.6222071647644043,-0.6480752229690552,-0.6342383027076721,-0.6338719129562378,0.04617178440093994,0.02586805820465088,0.020303726196289062,0.012031137943267822,0.011664748191833496
A3LOGP4VA9DX46,tail_hit,20,-0.6434138417243958,-2.2813332080841064,-2.04018235206604,-2.229504108428955,-2.287933826446533,-1.6379193663597107,-0.2411508560180664,-1.3967685103416443,-0.05182909965515137,0.006600618362426758
A3IAU6ZPVF2R5K,tail_hit,18,-0.7587742209434509,-1.3083772659301758,-1.1249924898147583,-1.3577100038528442,-1.3195852041244507,-0.5496030449867249,-0.18338477611541748,-0.3662182688713074,0.04933273792266846,0.011207938194274902
A3RYJDTXDFBN7Q,tail_hit,3,-0.8192577958106995,-0.9102610945701599,-0.7443177103996277,-0.896301805973053,-0.8978785872459412,-0.09100329875946045,-0.16594338417053223,0.07494008541107178,-0.013959288597106934,-0.01238250732421875
A1MDDJ2XUPZZOE,tail_hit,20,-0.7233412861824036,-11.132850646972656,-11.62924861907959,-11.2086181640625,-11.05897045135498,-10.409509360790253,0.4963979721069336,-10.905907332897186,0.07576751708984375,-0.07388019561767578
A1NJARL37C9BEO,tail_hit,3,-0.9205834865570068,-0.8207863569259644,-0.8566631078720093,-0.7885066270828247,-0.8072245717048645,0.09979712963104248,0.03587675094604492,0.06392037868499756,-0.03227972984313965,-0.013561785221099854
A2UF5R4TZ9R4JS,tail_hit,3,-0.460631787776947,-2.73927903175354,-2.6078686714172363,-2.680258274078369,-2.6967484951019287,-2.278647243976593,-0.1314103603363037,-2.1472368836402893,-0.0590207576751709,-0.04253053665161133
A10OTOBL3K2BHE,tail_hit,3,-0.6430314779281616,-1.3621171712875366,-1.263275384902954,-1.3219263553619385,-1.3352042436599731,-0.719085693359375,-0.09884178638458252,-0.6202439069747925,-0.040190815925598145,-0.026912927627563477
A24840XIEH2EE7,tail_hit,3,-0.5893550515174866,-1.840225100517273,-1.8968576192855835,-1.798126459121704,-1.7985912561416626,-1.2508700489997864,0.05663251876831055,-1.307502567768097,-0.04209864139556885,-0.04163384437561035
