dataset,control,group,Recall@5,NDCG@5,Recall@10,NDCG@10,n
Toys,C3,overall,0.0908203125,0.06904582470137104,0.12451171875,0.07988206965601494,2048
Toys,C3,head,0.10091743119266056,0.07615752074887726,0.13646788990825687,0.08730381748518126,872
Toys,C3,tail,0.08333333333333333,0.06377252627158764,0.11564625850340136,0.07437886888472837,1176
Toys,C3,history_1-5,0.0943952802359882,0.07467603149172004,0.1290560471976401,0.08596188590834068,1356
Toys,C3,history_6-10,0.07390300230946882,0.05262800651656174,0.10623556581986143,0.06264689650727671,433
Toys,C3,history_11-20,0.0989010989010989,0.0667738532495707,0.12637362637362637,0.07571563103461634,182
Toys,C3,history_21+,0.1038961038961039,0.067589378864188,0.14285714285714285,0.07958195230983997,77
Toys,C4,overall,0.0908203125,0.06904582470137104,0.12451171875,0.07988206965601494,2048
Toys,C4,head,0.10091743119266056,0.07615752074887726,0.13646788990825687,0.08730381748518126,872
Toys,C4,tail,0.08333333333333333,0.06377252627158764,0.11564625850340136,0.07437886888472837,1176
Toys,C4,history_1-5,0.0943952802359882,0.07467603149172004,0.1290560471976401,0.08596188590834068,1356
Toys,C4,history_6-10,0.07390300230946882,0.05262800651656174,0.10623556581986143,0.06264689650727671,433
Toys,C4,history_11-20,0.0989010989010989,0.0667738532495707,0.12637362637362637,0.07571563103461634,182
Toys,C4,history_21+,0.1038961038961039,0.067589378864188,0.14285714285714285,0.07958195230983997,77
Beauty,C0,overall,0.07861328125,0.055728559460289,0.11474609375,0.06721529103122585,2048
Beauty,C0,head,0.10794896957801767,0.07621011269892969,0.1717369970559372,0.0964892421940239,1019
Beauty,C0,tail,0.04956268221574344,0.03544604949899185,0.05830903790087463,0.03822582918973794,1029
Beauty,C0,history_1-5,0.07433489827856025,0.05280345110484506,0.1056338028169014,0.06288114411146081,1278
Beauty,C0,history_6-10,0.08536585365853659,0.05791958937247586,0.13211382113821138,0.07246085799186988,492
Beauty,C0,history_11-20,0.0582010582010582,0.04497354497354497,0.09523809523809523,0.05684602343559796,189
Beauty,C0,history_21+,0.14606741573033707,0.10845889091485246,0.19101123595505617,0.12247385726040158,89
Beauty,C1,overall,0.0791015625,0.055917452432571485,0.1142578125,0.06717432056678614,2048
Beauty,C1,head,0.10893032384690873,0.07678627168100288,0.1717369970559372,0.0968695582431856,1019
Beauty,C1,tail,0.04956268221574344,0.03525143997955738,0.057337220602526724,0.03776766634691155,1029
Beauty,C1,history_1-5,0.07433489827856025,0.052905900051301594,0.10641627543035993,0.06327519119312665,1278
Beauty,C1,history_6-10,0.08739837398373984,0.059189900958027945,0.13211382113821138,0.07319195599496513,492
Beauty,C1,history_11-20,0.0582010582010582,0.04302079234693893,0.08994708994708994,0.05336382728350044,189
Beauty,C1,history_21+,0.14606741573033707,0.10845889091485246,0.1797752808988764,0.11922593786357137,89
Beauty,C2,overall,0.0791015625,0.05594753363942932,0.1142578125,0.06719323289973055,2048
Beauty,C2,head,0.10893032384690873,0.07671824082533399,0.1717369970559372,0.09677908003346893,1019
Beauty,C2,tail,0.04956268221574344,0.035378679778946556,0.057337220602526724,0.03789490614630073,1029
Beauty,C2,history_1-5,0.07433489827856025,0.052905900051301594,0.10641627543035993,0.06327519119312665,1278
Beauty,C2,history_6-10,0.08739837398373984,0.05931511703860691,0.13211382113821138,0.07327068050283131,492
Beauty,C2,history_11-20,0.0582010582010582,0.04302079234693893,0.08994708994708994,0.05336382728350044,189
Beauty,C2,history_21+,0.14606741573033707,0.10845889091485246,0.1797752808988764,0.11922593786357137,89
Beauty,C3,overall,0.0791015625,0.05588360309569326,0.1142578125,0.06712930235599447,2048
Beauty,C3,head,0.10893032384690873,0.07671824082533399,0.1717369970559372,0.09677908003346893,1019
Beauty,C3,tail,0.04956268221574344,0.03525143997955738,0.057337220602526724,0.03776766634691155,1029
Beauty,C3,history_1-5,0.07433489827856025,0.052905900051301594,0.10641627543035993,0.06327519119312665,1278
Beauty,C3,history_6-10,0.08739837398373984,0.05904899965329907,0.13211382113821138,0.07300456311752344,492
Beauty,C3,history_11-20,0.0582010582010582,0.04302079234693893,0.08994708994708994,0.05336382728350044,189
Beauty,C3,history_21+,0.14606741573033707,0.10845889091485246,0.1797752808988764,0.11922593786357137,89
Beauty,C4,overall,0.0791015625,0.055917452432571485,0.1142578125,0.06717432056678614,2048
Beauty,C4,head,0.10893032384690873,0.07678627168100288,0.1717369970559372,0.0968695582431856,1019
Beauty,C4,tail,0.04956268221574344,0.03525143997955738,0.057337220602526724,0.03776766634691155,1029
Beauty,C4,history_1-5,0.07433489827856025,0.052905900051301594,0.10641627543035993,0.06327519119312665,1278
Beauty,C4,history_6-10,0.08739837398373984,0.059189900958027945,0.13211382113821138,0.07319195599496513,492
Beauty,C4,history_11-20,0.0582010582010582,0.04302079234693893,0.08994708994708994,0.05336382728350044,189
Beauty,C4,history_21+,0.14606741573033707,0.10845889091485246,0.1797752808988764,0.11922593786357137,89
